WKT,ID,Spielplatz-Name,Groesse,Bereich,Ball,Skater,Streetball,Rechtswert,Hochwert
POINT (3406955 5760927),101,SP THOMAS-MORUS-SCHULE,517,B/C,0,,Balltrichter,3406955,5760927
POINT (3407336 5760933),102,SP HOPPENGARTEN-SÜD,2965,A,0,,,3407336,5760933
POINT (3407172 5761851),103,SP HACKLENBURG,838,B/C,0,,,3407172,5761851
POINT (3404909 5760986),104,SP DREIFALTIGKEITSSCHULE,959,B/C,0,,Balltrichter,3404909,5760986
POINT (3404463 5761082),105,SP RIGAWEG,1719,B/C,0,,,3404463,5761082
POINT (3404522 5761892),106,SP VON-EINEM-STRASSE,1743,A+B/C,2,,,3404522,5761892
POINT (3404887 5762074),107,SP NIENKAMP,1538,B/C,2,,,3404887,5762074
POINT (3406006 5761116),108,SP FALGERSTRASSE,1600,B/C,2,,,3406006,5761116
POINT (3404812 5761218),109,SP JAHNSTRASSE,549,B/C,0,,,3404812,5761218
POINT (3405716 5761483),110,SP STADTPARK WIENBURG,6000,A,2,ja,,3405716,5761483
POINT (3404593 5762062),111,SP DREIZEHNERSTRASSE,1475,A,0,,,3404593,5762062
POINT (3404598 5762196),112,SP FRESNOSTRASSE          (BALLSPIELPLATZ),1055,A,1,,ja,3404598,5762196
POINT (3402439 5759971),113,SP POTSTIEGE,1021,B/C,0,,,3402439,5759971
POINT (3402239 5761234),114,SP AM BREILBUSCH,334,C,0,ja,,3402239,5761234
POINT (3402849 5759705),115,SP MÖLLMANNSWEG,3000,A+B/C,2,ja,ja,3402849,5759705
POINT (3401833 5760705),116,SP GIEVENBACHTAL,1237,A+B/C,0,,,3401833,5760705
POINT (3401200 5761057),117,SP BRUCHFELDWEG,485,B/C,0,,,3401200,5761057
POINT (3402358 5760678),118,SP BESSELWEG,500,B/C,0,,,3402358,5760678
POINT (3402322 5760901),119,SP SCHÖPPINGENWEG,417,B/C,0,,,3402322,5760901
POINT (3402048 5761005),120,SP GESCHERWEG - WEST,820,B/C,0,,,3402048,5761005
POINT (3401997 5760381),121,SP BORGHORSTWEG            (BALLSPIELPLATZ),600,A+B/C,1,,,3401997,5760381
POINT (3402750 5760141),122,SP APPELBREISTIEGE,725,B/C,0,,,3402750,5760141
POINT (3401962 5761154),123,SP TOPPHEIDEWEG,5700,A+B/C,0,,,3401962,5761154
POINT (3401704 5761374),124,SP LEGDENWEG-OST,1480,B/C,0,,,3401704,5761374
POINT (3401351 5761262),125,SP LEGDENWEG-WEST,1489,B/C,0,ja,ja,3401351,5761262
POINT (3401514 5760378),126,SP GRONOWSKISTRASSE,2456,B/C,0,,,3401514,5760378
POINT (3401222 5760063),127,SP MERGELBERG-SÜD,3043,B/C,0,,,3401222,5760063
POINT (3401148 5760478),128,SP MERGELBERG-NORD,4500,A,0,ja,ja,3401148,5760478
POINT (3401821 5760011),129,SP GRÜNER FINGER,233,A,0,ja,ja,3401821,5760011
POINT (3401604 5759322),130,SP LINDENBREIE,1700,B/C,0,,,3401604,5759322
POINT (3403720 5760510),131,SP HORSTMARER LANDWEG,1225,B/C,2,,,3403720,5760510
POINT (3403350 5758583),132,SP AUF DEM DRAUN,2353,B/C,0,,,3403350,5758583
POINT (3403361 5760899),133,SP BENTELERSTRASSE,777,B/C,0,,,3403361,5760899
POINT (3403996 5758394),134,SP AASEE: TORMINBRÜCKE,1900,A,2,,,3403996,5758394
POINT (3403415 5758936),135,SP SENTRUPER HÖHE,800,A,1,,,3403415,5758936
POINT (3402891 5759376),136,SP SCHMEDDINGSTRASSE,,B/C,0,,,3402891,5759376
POINT (3402811 5755993),137,SP SCHÜRBUSCH,944,B/C,0,,,3402811,5755993
POINT (3401575 5755679),138,SP SCHWARZER KAMP,1333,B/C,0,,,3401575,5755679
POINT (3401795 5755809),139,SP SCHWARZER KAMP 2,619,B/C,0,,,3401795,5755809
POINT (3403308 5756609),140,SP OSSENKAMPSTIEGE,694,B/C,0,,,3403308,5756609
POINT (3401963 5756093),141,SP CHRISTOPH-BERNHARD-GRABEN (SP WESTENKAMP),3792,A,2,,,3401963,5756093
POINT (3401977 5754948),142,SP HEROLDSTRASSE,2700,A+B/C,2,,,3401977,5754948
POINT (3401403 5756189),143,SP AM DILL,785,B/C,0,,,3401403,5756189
POINT (3403455 5756541),144,SP TRESCKOWSTRASSE,800,B/C,0,,ja,3403455,5756541
POINT (3401915 5756395),145,SP LANDSCHAFTSPARK MECKLENBECK (SPORTZENTRUM),10934,A,0,ja,ja,3401915,5756395
POINT (3402251 5756247),146,SP AM HOF HESSELMANN,1494,B/C,0,,,3402251,5756247
POINT (3402271 5755855),147,SP AM HOF SCHULTMANN,700,B/C,0,,,3402271,5755855
POINT (3402388 5755726),148,SP MEYERBEERSTRASSE,1500,A,0,,ja,3402388,5755726
POINT (3398557 5755702),149,SP ALBACHTENER STRASSE,2430,A+B/C,2,,,3398557,5755702
POINT (3398182 5755747),150,SP FREIE FLUR,725,B/C,0,,,3398182,5755747
POINT (3398768 5755293),151,SP AM BLÜTENHAIN,681,B/C,0,,,3398768,5755293
POINT (3398973 5754866),152,SP AM TINNENBUSCH,635,B/C,0,,,3398973,5754866
POINT (3398672 5755084),153,SP AM KÄMPKEN,2757,A+B/C,2,,,3398672,5755084
POINT (3398456 5755398),154,SP WIERLING,1350,B/C,0,,,3398456,5755398
POINT (3398464 5754588),155,SP HAUS WIEK,2800,A,0,,ja,3398464,5754588
POINT (3400071 5758570),156,SP GOLDAPER STRASSE,3048,B/C,2,,,3400071,5758570
POINT (3399728 5758565),157,SP KÖSTERS KÄMPKEN,785,B/C,0,,,3399728,5758565
POINT (3399712 5758262),158,SP EICHENWEG SÜD,488,B/C,0,,,3399712,5758262
POINT (3399595 5758317),159,SP BUCHENWEG,477,B/C,0,,,3399595,5758317
POINT (3399142 5758596),160,SP SCHULTE-BERND-STRASSE,552,B/C,0,,,3399142,5758596
POINT (3399348 5758250),161,SP PAUL-GERHARDT-STRASSE,765,B/C,0,,,3399348,5758250
POINT (3399382 5758151),162,SP NOTTULNER LANDWEG,2000,A+B/C,2,,,3399382,5758151
POINT (3398833 5758644),163,SP KORBMACHERWEG,3268,A+B/C,0,,,3398833,5758644
POINT (3398908 5758887),164,SP SCHULZENTRUM ROXEL,255,B/C,0,,ja,3398908,5758887
POINT (3399110 5758880),165,SP MARIENSCHULE,500,B/C,0,,,3399110,5758880
POINT (3399469 5759038),166,SP IM SEIHOF,1925,,0,,,3399469,5759038
POINT (3400783 5763392),167,SP KURNEYSTRASSE / MÖRICKESTRASSE,1369,B/C,0,,,3400783,5763392
POINT (3400964 5763235),168,SP AM SPIEKER,1522,B/C,0,,,3400964,5763235
POINT (3401082 5762924),169,SP AM PASTORENBUSCH,3185,A,2,,ja,3401082,5762924
POINT (3400616 5762994),170,SP GUSTAV-FREYTAG- /ISOLDE-KURZ-STRASSE,557,B/C,0,,,3400616,5762994
POINT (3400564 5763074),171,SP GUSTAV-FREYTAG- /HEINRICH-VON-KLEIST-STRASSE,1821,B/C,2,,,3400564,5763074
POINT (3400573 5763464),172,SP VÖGEDINGPLATZ,3681,A+B/C,0,,,3400573,5763464
POINT (3400945 5763756),173,SP AM HAUS NIENBERGE,750,B/C,0,,,3400945,5763756
POINT (3401267 5763622),174,SP GARTENSTIEGE,1971,B/C,0,,,3401267,5763622
POINT (3401380 5766133),175,SP HÄGER,1038,B/C,0,,,3401380,5766133
POINT (3399989 5763201),176,SP WALTRUPER WEG,946,B/C,0,,,3399989,5763201
