WKT,ID,Spielplatz-Name,Groesse,Bereich,Ball,Skater,Streetball,Rechtswert,Hochwert
POINT (3408902 5753185),301,SP BOCKHORSTSTRASSE,486,B/C,0,,,3408902,5753185
POINT (3408079 5752978),302,SP TULPENWEG,748,B/C,0,,,3408079,5752978
POINT (3406943 5753505),303,SP BODELSCHWINGHSTRASSE,1012,B/C,0,,,3406943,5753505
POINT (3406515 5754144),304,SP IM DAHL,2664,A,2,,ja,3406515,5754144
POINT (3406544 5753551),305,SP MAX-REGER-STRASSE,914,B/C,0,,,3406544,5753551
POINT (3407436 5751053),306,SP HILTRUPER SEE,2918,A,2,,,3407436,5751053
POINT (3407197 5753090),307,SP HANSES-KETTELER-STRASSE,2598,A+B/C,2,,,3407197,5753090
POINT (3406863 5753048),308,SP AM KALVARIENBERG,816,B/C,0,,,3406863,5753048
POINT (3406897 5753883),309,SP VERDISTRASSE,1205,B/C,0,,,3406897,5753883
POINT (3406375 5753199),310,SP PATRONATSSTRASSE,550,B/C,0,,,3406375,5753199
POINT (3406814 5753310),311,SP KARDINALSTRASSE,2345,A+B/C,0,,,3406814,5753310
POINT (3405699 5752549),312,SP REHHAGEN,805,B/C,0,,,3405699,5752549
POINT (3405289 5753479),313,SP HÜNENBURG-SÜD,841,B/C,0,,,3405289,5753479
POINT (3405278 5753634),314,SP HÜNENBURG-MITTE,800,B/C,0,,,3405278,5753634
POINT (3405715 5752679),315,SP HÖLDERLINWEG,800,B/C,0,,,3405715,5752679
POINT (3406139 5752341),316,SP MALTESERSTRASSE,3100,A+B/C,2,,,3406139,5752341
POINT (3405656 5752965),317,SP RÜCKERTSTRASSE,446,B/C,0,,,3405656,5752965
POINT (3406038 5752856),318,SP HOFFMANN-VON-FALLERSLEBEN-WEG,575,B/C,0,,,3406038,5752856
POINT (3405846 5753439),319,SP FLEIGESTRASSE,270,C,0,,,3405846,5753439
POINT (3405949 5753221),320,SP AN DER ALTEN KIRCHE,4749,A,2,,ja,3405949,5753221
POINT (3405481 5752265),321,SP BAININGSTRASSE,2311,B/C,0,ja,ja,3405481,5752265
POINT (3405496 5753606),322,SP BERNHARD-POETHER-STRASSE,654,B/C,0,,,3405496,5753606
POINT (3405625 5753336),323,SP NISINGHOVERWEG,537,B/C,0,,,3405625,5753336
POINT (3405119 5753245),324,SP BÖTTCHERSTRASSE,1500,B/C,0,,,3405119,5753245
POINT (3405280 5752918),325,SP EINKAUFSZENTRUM MEESENSTIEGE,4460,A+B/C,2,,ja,3405280,5752918
POINT (3405234 5752168),326,SP WILHELM-SPIEKER-STRASSE,588,B/C,0,,,3405234,5752168
POINT (3404488 5750943),327,SP LANGE KUHLE,4349,A,2,,ja,3404488,5750943
POINT (3404189 5750564),328,SP KIRCHFELD,622,B/C,0,,,3404189,5750564
POINT (3404159 5750964),329,SP ALTE FURT,846,B/C,0,,ja,3404159,5750964
POINT (3403931 5750709),330,SP ARNIKAWEG,1560,B/C,0,,,3403931,5750709
POINT (3404474 5750261),331,SP WIEDEIKEN,830,B/C,0,,,3404474,5750261
POINT (3404193 5750162),332,SP TENGENKAMP,2908,B/C,0,,,3404193,5750162
